x,y,t
126274.4446,0.059847922,-0.002
126274.4446,-0.059847922,-0.002
126274.4446,0.059679027,-0.00199
126274.4446,-0.059679027,-0.00199
126274.4446,0.059509661,-0.00198
126274.4446,-0.059509661,-0.00198
126274.4446,0.059339822,-0.00197
126274.4446,-0.059339822,-0.00197
126274.4446,0.059169504,-0.00196
126274.4446,-0.059169504,-0.00196
126274.4446,0.058998703,-0.00195
126274.4446,-0.058998703,-0.00195
126274.4446,0.058827415,-0.00194
126274.4446,-0.058827415,-0.00194
126274.4446,0.058655636,-0.00193
126274.4446,-0.058655636,-0.00193
126274.4446,0.058483361,-0.00192
126274.4446,-0.058483361,-0.00192
126274.4446,0.058310587,-0.00191
126274.4446,-0.058310587,-0.00191
126274.4446,0.058137308,-0.0019
126274.4446,-0.058137308,-0.0019
126274.4446,0.057963521,-0.00189
126274.4446,-0.057963521,-0.00189
126274.4446,0.05778922,-0.00188
126274.4446,-0.05778922,-0.00188
126274.4446,0.057614401,-0.00187
126274.4446,-0.057614401,-0.00187
126274.4446,0.057439059,-0.00186
126274.4446,-0.057439059,-0.00186
126274.4446,0.057263189,-0.00185
126274.4446,-0.057263189,-0.00185
126274.4446,0.057086787,-0.00184
126274.4446,-0.057086787,-0.00184
126274.4446,0.056909848,-0.00183
126274.4446,-0.056909848,-0.00183
126274.4445,0.056732365,-0.00182
126274.4445,-0.056732365,-0.00182
126274.4445,0.056554336,-0.00181
126274.4445,-0.056554336,-0.00181
126274.4445,0.056375753,-0.0018
126274.4445,-0.056375753,-0.0018
126274.4445,0.056196613,-0.00179
126274.4445,-0.056196613,-0.00179
126274.4445,0.056016909,-0.00178
126274.4445,-0.056016909,-0.00178
126274.4445,0.055836636,-0.00177
126274.4445,-0.055836636,-0.00177
126274.4445,0.055655789,-0.00176
126274.4445,-0.055655789,-0.00176
126274.4445,0.055474361,-0.00175
126274.4445,-0.055474361,-0.00175
126274.4445,0.055292348,-0.00174
126274.4445,-0.055292348,-0.00174
126274.4445,0.055109744,-0.00173
126274.4445,-0.055109744,-0.00173
126274.4445,0.054926542,-0.00172
126274.4445,-0.054926542,-0.00172
126274.4445,0.054742737,-0.00171
126274.4445,-0.054742737,-0.00171
126274.4445,0.054558322,-0.0017
126274.4445,-0.054558322,-0.0017
126274.4445,0.054373291,-0.00169
126274.4445,-0.054373291,-0.00169
126274.4445,0.054187639,-0.00168
126274.4445,-0.054187639,-0.00168
126274.4445,0.054001357,-0.00167
126274.4445,-0.054001357,-0.00167
126274.4445,0.053814441,-0.00166
126274.4445,-0.053814441,-0.00166
126274.4445,0.053626884,-0.00165
126274.4445,-0.053626884,-0.00165
126274.4445,0.053438678,-0.00164
126274.4445,-0.053438678,-0.00164
126274.4445,0.053249816,-0.00163
126274.4445,-0.053249816,-0.00163
126274.4445,0.053060293,-0.00162
126274.4445,-0.053060293,-0.00162
126274.4445,0.0528701,-0.00161
126274.4445,-0.0528701,-0.00161
126274.4445,0.05267923,-0.0016
126274.4445,-0.05267923,-0.0016
126274.4445,0.052487677,-0.00159
126274.4445,-0.052487677,-0.00159
126274.4445,0.052295432,-0.00158
126274.4445,-0.052295432,-0.00158
126274.4445,0.052102487,-0.00157
126274.4445,-0.052102487,-0.00157
126274.4445,0.051908836,-0.00156
126274.4445,-0.051908836,-0.00156
126274.4445,0.05171447,-0.00155
126274.4445,-0.05171447,-0.00155
126274.4445,0.051519381,-0.00154
126274.4445,-0.051519381,-0.00154
126274.4444,0.05132356,-0.00153
126274.4444,-0.05132356,-0.00153
126274.4444,0.051127,-0.00152
126274.4444,-0.051127,-0.00152
126274.4444,0.050929692,-0.00151
126274.4444,-0.050929692,-0.00151
126274.4444,0.050731627,-0.0015
126274.4444,-0.050731627,-0.0015
126274.4444,0.050532796,-0.00149
126274.4444,-0.050532796,-0.00149
126274.4444,0.05033319,-0.00148
126274.4444,-0.05033319,-0.00148
126274.4444,0.050132799,-0.00147
126274.4444,-0.050132799,-0.00147
126274.4444,0.049931615,-0.00146
126274.4444,-0.049931615,-0.00146
126274.4444,0.049729628,-0.00145
126274.4444,-0.049729628,-0.00145
126274.4444,0.049526828,-0.00144
126274.4444,-0.049526828,-0.00144
126274.4444,0.049323205,-0.00143
126274.4444,-0.049323205,-0.00143
126274.4444,0.049118748,-0.00142
126274.4444,-0.049118748,-0.00142
126274.4444,0.048913448,-0.00141
126274.4444,-0.048913448,-0.00141
126274.4444,0.048707293,-0.0014
126274.4444,-0.048707293,-0.0014
126274.4444,0.048500272,-0.00139
126274.4444,-0.048500272,-0.00139
126274.4444,0.048292375,-0.00138
126274.4444,-0.048292375,-0.00138
126274.4444,0.048083591,-0.00137
126274.4444,-0.048083591,-0.00137
126274.4444,0.047873906,-0.00136
126274.4444,-0.047873906,-0.00136
126274.4444,0.047663311,-0.00135
126274.4444,-0.047663311,-0.00135
126274.4444,0.047451792,-0.00134
126274.4444,-0.047451792,-0.00134
126274.4444,0.047239337,-0.00133
126274.4444,-0.047239337,-0.00133
126274.4444,0.047025933,-0.00132
126274.4444,-0.047025933,-0.00132
126274.4444,0.046811568,-0.00131
126274.4444,-0.046811568,-0.00131
126274.4444,0.046596228,-0.0013
126274.4444,-0.046596228,-0.0013
126274.4444,0.046379899,-0.00129
126274.4444,-0.046379899,-0.00129
126274.4444,0.046162569,-0.00128
126274.4444,-0.046162569,-0.00128
126274.4444,0.045944221,-0.00127
126274.4444,-0.045944221,-0.00127
126274.4444,0.045724843,-0.00126
126274.4444,-0.045724843,-0.00126
126274.4444,0.045504418,-0.00125
126274.4444,-0.045504418,-0.00125
126274.4443,0.045282933,-0.00124
126274.4443,-0.045282933,-0.00124
126274.4443,0.04506037,-0.00123
126274.4443,-0.04506037,-0.00123
126274.4443,0.044836714,-0.00122
126274.4443,-0.044836714,-0.00122
126274.4443,0.044611949,-0.00121
126274.4443,-0.044611949,-0.00121
126274.4443,0.044386058,-0.0012
126274.4443,-0.044386058,-0.0012
126274.4443,0.044159023,-0.00119
126274.4443,-0.044159023,-0.00119
126274.4443,0.043930827,-0.00118
126274.4443,-0.043930827,-0.00118
126274.4443,0.043701451,-0.00117
126274.4443,-0.043701451,-0.00117
126274.4443,0.043470877,-0.00116
126274.4443,-0.043470877,-0.00116
126274.4443,0.043239086,-0.00115
126274.4443,-0.043239086,-0.00115
126274.4443,0.043006058,-0.00114
126274.4443,-0.043006058,-0.00114
126274.4443,0.042771773,-0.00113
126274.4443,-0.042771773,-0.00113
126274.4443,0.042536209,-0.00112
126274.4443,-0.042536209,-0.00112
126274.4443,0.042299346,-0.00111
126274.4443,-0.042299346,-0.00111
126274.4443,0.042061162,-0.0011
126274.4443,-0.042061162,-0.0011
126274.4443,0.041821634,-0.00109
126274.4443,-0.041821634,-0.00109
126274.4443,0.041580739,-0.00108
126274.4443,-0.041580739,-0.00108
126274.4443,0.041338453,-0.00107
126274.4443,-0.041338453,-0.00107
126274.4443,0.041094752,-0.00106
126274.4443,-0.041094752,-0.00106
126274.4443,0.040849609,-0.00105
126274.4443,-0.040849609,-0.00105
126274.4443,0.040602999,-0.00104
126274.4443,-0.040602999,-0.00104
126274.4443,0.040354896,-0.00103
126274.4443,-0.040354896,-0.00103
126274.4443,0.04010527,-0.00102
126274.4443,-0.04010527,-0.00102
126274.4443,0.039854095,-0.00101
126274.4443,-0.039854095,-0.00101
126274.4443,0.03960134,-0.001
126274.4443,-0.03960134,-0.001
126274.4443,0.039346974,-0.00099
126274.4443,-0.039346974,-0.00099
126274.4443,0.039090967,-0.00098
126274.4443,-0.039090967,-0.00098
126274.4443,0.038833286,-0.00097
126274.4443,-0.038833286,-0.00097
126274.4442,0.038573897,-0.00096
126274.4442,-0.038573897,-0.00096
126274.4442,0.038312765,-0.00095
126274.4442,-0.038312765,-0.00095
126274.4442,0.038049856,-0.00094
126274.4442,-0.038049856,-0.00094
126274.4442,0.037785131,-0.00093
126274.4442,-0.037785131,-0.00093
126274.4442,0.037518552,-0.00092
126274.4442,-0.037518552,-0.00092
126274.4442,0.03725008,-0.00091
126274.4442,-0.03725008,-0.00091
126274.4442,0.036979673,-0.0009
126274.4442,-0.036979673,-0.0009
126274.4442,0.036707288,-0.00089
126274.4442,-0.036707288,-0.00089
126274.4442,0.036432882,-0.00088
126274.4442,-0.036432882,-0.00088
126274.4442,0.036156407,-0.00087
126274.4442,-0.036156407,-0.00087
126274.4442,0.035877817,-0.00086
126274.4442,-0.035877817,-0.00086
126274.4442,0.035597061,-0.00085
126274.4442,-0.035597061,-0.00085
126274.4442,0.035314088,-0.00084
126274.4442,-0.035314088,-0.00084
126274.4442,0.035028845,-0.00083
126274.4442,-0.035028845,-0.00083
126274.4442,0.034741274,-0.00082
126274.4442,-0.034741274,-0.00082
126274.4442,0.034451319,-0.00081
126274.4442,-0.034451319,-0.00081
126274.4442,0.034158917,-0.0008
126274.4442,-0.034158917,-0.0008
126274.4442,0.033864007,-0.00079
126274.4442,-0.033864007,-0.00079
126274.4442,0.033566521,-0.00078
126274.4442,-0.033566521,-0.00078
126274.4442,0.033266391,-0.00077
126274.4442,-0.033266391,-0.00077
126274.4442,0.032963545,-0.00076
126274.4442,-0.032963545,-0.00076
126274.4442,0.032657906,-0.00075
126274.4442,-0.032657906,-0.00075
126274.4442,0.032349396,-0.00074
126274.4442,-0.032349396,-0.00074
126274.4442,0.032037932,-0.00073
126274.4442,-0.032037932,-0.00073
126274.4442,0.031723426,-0.00072
126274.4442,-0.031723426,-0.00072
126274.4442,0.031405788,-0.00071
126274.4442,-0.031405788,-0.00071
126274.4442,0.031084921,-0.0007
126274.4442,-0.031084921,-0.0007
126274.4442,0.030760725,-0.00069
126274.4442,-0.030760725,-0.00069
126274.4442,0.030433092,-0.00068
126274.4442,-0.030433092,-0.00068
126274.4441,0.030101911,-0.00067
126274.4441,-0.030101911,-0.00067
126274.4441,0.029767063,-0.00066
126274.4441,-0.029767063,-0.00066
126274.4441,0.029428424,-0.00065
126274.4441,-0.029428424,-0.00065
126274.4441,0.02908586,-0.00064
126274.4441,-0.02908586,-0.00064
126274.4441,0.028739231,-0.00063
126274.4441,-0.028739231,-0.00063
126274.4441,0.028388389,-0.00062
126274.4441,-0.028388389,-0.00062
126274.4441,0.028033175,-0.00061
126274.4441,-0.028033175,-0.00061
126274.4441,0.027673421,-0.0006
126274.4441,-0.027673421,-0.0006
126274.4441,0.027308947,-0.00059
126274.4441,-0.027308947,-0.00059
126274.4441,0.026939562,-0.00058
126274.4441,-0.026939562,-0.00058
126274.4441,0.026565061,-0.00057
126274.4441,-0.026565061,-0.00057
126274.4441,0.026185225,-0.00056
126274.4441,-0.026185225,-0.00056
126274.4441,0.025799817,-0.00055
126274.4441,-0.025799817,-0.00055
126274.4441,0.025408585,-0.00054
126274.4441,-0.025408585,-0.00054
126274.4441,0.025011255,-0.00053
126274.4441,-0.025011255,-0.00053
126274.4441,0.024607531,-0.00052
126274.4441,-0.024607531,-0.00052
126274.4441,0.024197094,-0.00051
126274.4441,-0.024197094,-0.00051
126274.4441,0.023779596,-0.0005
126274.4441,-0.023779596,-0.0005
126274.4441,0.023354658,-0.00049
126274.4441,-0.023354658,-0.00049
126274.4441,0.022921867,-0.00048
126274.4441,-0.022921867,-0.00048
126274.4441,0.022480769,-0.00047
126274.4441,-0.022480769,-0.00047
126274.4441,0.022030865,-0.00046
126274.4441,-0.022030865,-0.00046
126274.4441,0.021571604,-0.00045
126274.4441,-0.021571604,-0.00045
126274.4441,0.021102374,-0.00044
126274.4441,-0.021102374,-0.00044
126274.4441,0.020622497,-0.00043
126274.4441,-0.020622497,-0.00043
126274.4441,0.02013121,-0.00042
126274.4441,-0.02013121,-0.00042
126274.4441,0.019627656,-0.00041
126274.4441,-0.019627656,-0.00041
126274.4441,0.019110866,-0.0004
126274.4441,-0.019110866,-0.0004
126274.4441,0.018579736,-0.00039
126274.4441,-0.018579736,-0.00039
126274.444,0.018032998,-0.00038
126274.444,-0.018032998,-0.00038
126274.444,0.017469187,-0.00037
126274.444,-0.017469187,-0.00037
126274.444,0.016886593,-0.00036
126274.444,-0.016886593,-0.00036
126274.444,0.0162832,-0.00035
126274.444,-0.0162832,-0.00035
126274.444,0.015656603,-0.00034
126274.444,-0.015656603,-0.00034
126274.444,0.015003896,-0.00033
126274.444,-0.015003896,-0.00033
126274.444,0.014321509,-0.00032
126274.444,-0.014321509,-0.00032
126274.444,0.013604977,-0.00031
126274.444,-0.013604977,-0.00031
126274.444,0.012848588,-0.0003
126274.444,-0.012848588,-0.0003
126274.444,0.012044836,-0.00029
126274.444,-0.012044836,-0.00029
126274.444,0.011183515,-0.00028
126274.444,-0.011183515,-0.00028
126274.444,0.01025012,-0.00027
126274.444,-0.01025012,-0.00027
126274.444,0.009222797,-0.00026
126274.444,-0.009222797,-0.00026
126274.444,0.008065733,-0.00025
126274.444,-0.008065733,-0.00025
126274.444,0.006712165,-0.00024
126274.444,-0.006712165,-0.00024
126274.444,0.00500513,-0.00023
126274.444,-0.00500513,-0.00023
126274.444,0.00224734,-0.00022
126274.444,-0.00224734,-0.00022
126274.4401,0,-0.00021
126274.4479,0,-0.00021
126274.4381,0,-0.0002
126274.4499,0,-0.0002
126274.4366,0,-0.00019
126274.4514,0,-0.00019
126274.4353,0,-0.00018
126274.4526,0,-0.00018
126274.4342,0,-0.00017
126274.4537,0,-0.00017
126274.4333,0,-0.00016
126274.4547,0,-0.00016
126274.4324,0,-0.00015
126274.4556,0,-0.00015
126274.4315,0,-0.00014
126274.4564,0,-0.00014
126274.4307,0,-0.00013
126274.4572,0,-0.00013
126274.43,0,-0.00012
126274.4579,0,-0.00012
126274.4293,0,-0.00011
126274.4586,0,-0.00011
126274.4286,0,-0.0001
126274.4593,0,-0.0001
126274.428,0,-0.00009
126274.4599,0,-0.00009
126274.4274,0,-0.00008
126274.4605,0,-0.00008
126274.4268,0,-0.00007
126274.4611,0,-0.00007
126274.4262,0,-0.00006
126274.4617,0,-0.00006
126274.4256,0,-0.00005
126274.4622,0,-0.00005
126274.4251,0,-0.00004
126274.4628,0,-0.00004
126274.4246,0,-0.00003
126274.4633,0,-0.00003
126274.4241,0,-0.00002
126274.4638,0,-0.00002
126274.4236,0,-0.00001
126274.4643,0,-0.00001
126274.4231,0,0
126274.4648,0,0
