x,y,t
540142.595189239364,0.062854601517,-0.0020000000
540142.595189239364,-0.062854601517,-0.0020000000
540142.595197115210,0.062693245816,-0.0019900000
540142.595197115210,-0.062693245816,-0.0019900000
540142.595204990706,0.062531484378,-0.0019800000
540142.595204990706,-0.062531484378,-0.0019800000
540142.595212865737,0.062369314046,-0.0019700000
540142.595212865737,-0.062369314046,-0.0019700000
540142.595220740419,0.062206731620,-0.0019600000
540142.595220740419,-0.062206731620,-0.0019600000
540142.595228614518,0.062043733860,-0.0019500000
540142.595228614518,-0.062043733860,-0.0019500000
540142.595236488152,0.061880317483,-0.0019400000
540142.595236488152,-0.061880317483,-0.0019400000
540142.595244361437,0.061716479162,-0.0019300000
540142.595244361437,-0.061716479162,-0.0019300000
540142.595252234256,0.061552215528,-0.0019200000
540142.595252234256,-0.061552215528,-0.0019200000
540142.595260106609,0.061387523164,-0.0019100000
540142.595260106609,-0.061387523164,-0.0019100000
540142.595267978497,0.061222398611,-0.0019000000
540142.595267978497,-0.061222398611,-0.0019000000
540142.595275849919,0.061056838361,-0.0018900000
540142.595275849919,-0.061056838361,-0.0018900000
540142.595283720992,0.060890838859,-0.0018800000
540142.595283720992,-0.060890838859,-0.0018800000
540142.595291591482,0.060724396501,-0.0018700000
540142.595291591482,-0.060724396501,-0.0018700000
540142.595299461624,0.060557507635,-0.0018600000
540142.595299461624,-0.060557507635,-0.0018600000
540142.595307331299,0.060390168559,-0.0018500000
540142.595307331299,-0.060390168559,-0.0018500000
540142.595315200510,0.060222375517,-0.0018400000
540142.595315200510,-0.060222375517,-0.0018400000
540142.595323069254,0.060054124706,-0.0018300000
540142.595323069254,-0.060054124706,-0.0018300000
540142.595330937649,0.059885412263,-0.0018200000
540142.595330937649,-0.059885412263,-0.0018200000
540142.595338805462,0.059716234278,-0.0018100000
540142.595338805462,-0.059716234278,-0.0018100000
540142.595346672926,0.059546586779,-0.0018000000
540142.595346672926,-0.059546586779,-0.0018000000
540142.595354539808,0.059376465742,-0.0017900000
540142.595354539808,-0.059376465742,-0.0017900000
540142.595362406340,0.059205867085,-0.0017800000
540142.595362406340,-0.059205867085,-0.0017800000
540142.595370272524,0.059034786664,-0.0017700000
540142.595370272524,-0.059034786664,-0.0017700000
540142.595378138125,0.058863220279,-0.0017600000
540142.595378138125,-0.058863220279,-0.0017600000
540142.595386003261,0.058691163667,-0.0017500000
540142.595386003261,-0.058691163667,-0.0017500000
540142.595393868047,0.058518612503,-0.0017400000
540142.595393868047,-0.058518612503,-0.0017400000
540142.595401732367,0.058345562398,-0.0017300000
540142.595401732367,-0.058345562398,-0.0017300000
540142.595409596106,0.058172008898,-0.0017200000
540142.595409596106,-0.058172008898,-0.0017200000
540142.595417459495,0.057997947483,-0.0017100000
540142.595417459495,-0.057997947483,-0.0017100000
540142.595425322535,0.057823373566,-0.0017000000
540142.595425322535,-0.057823373566,-0.0017000000
540142.595433184993,0.057648282489,-0.0016900000
540142.595433184993,-0.057648282489,-0.0016900000
540142.595441046986,0.057472669525,-0.0016800000
540142.595441046986,-0.057472669525,-0.0016800000
540142.595448908629,0.057296529874,-0.0016700000
540142.595448908629,-0.057296529874,-0.0016700000
540142.595456769806,0.057119858662,-0.0016600000
540142.595456769806,-0.057119858662,-0.0016600000
540142.595464630518,0.056942650942,-0.0016500000
540142.595464630518,-0.056942650942,-0.0016500000
540142.595472490764,0.056764901686,-0.0016400000
540142.595472490764,-0.056764901686,-0.0016400000
540142.595480350545,0.056586605792,-0.0016300000
540142.595480350545,-0.056586605792,-0.0016300000
540142.595488209976,0.056407758074,-0.0016200000
540142.595488209976,-0.056407758074,-0.0016200000
540142.595496068825,0.056228353266,-0.0016100000
540142.595496068825,-0.056228353266,-0.0016100000
540142.595503927325,0.056048386017,-0.0016000000
540142.595503927325,-0.056048386017,-0.0016000000
540142.595511785359,0.055867850891,-0.0015900000
540142.595511785359,-0.055867850891,-0.0015900000
540142.595519642928,0.055686742364,-0.0015800000
540142.595519642928,-0.055686742364,-0.0015800000
540142.595527500031,0.055505054821,-0.0015700000
540142.595527500031,-0.055505054821,-0.0015700000
540142.595535356668,0.055322782557,-0.0015600000
540142.595535356668,-0.055322782557,-0.0015600000
540142.595543212956,0.055139919773,-0.0015500000
540142.595543212956,-0.055139919773,-0.0015500000
540142.595551068662,0.054956460572,-0.0015400000
540142.595551068662,-0.054956460572,-0.0015400000
540142.595558924018,0.054772398960,-0.0015300000
