n          Ht min               Ht plus             delta Ht     Criterium      est tc             x at tc               y at tc                   x at t=-0.02     y at t=-0.02    delta x        delta y        speed        KM formula    delta KN-y
693, 2109.5620789565626998, 2110.0042929513714724, 0.4422139948, 8.371921641, -0.02505525595, 2109.8075726983224433, 0.019057066525540751177, 2109.8805794730897348, 0.3980208014, 0.07300677477, 0.3789637349, 5.056575211, 0.3871556381, 0.01086516337, 
922, 2658.0870359930372025, 2658.4100375709672697, 0.3230015779, 8.225352377, -0.01336728373, 2658.2602651983845772, 0.018679325665828061234, 2658.3369687997594250, 0.4332142287, 0.07670360137, 0.4145349030, 4.784969476, 0.4162516457, 0.01696258298, 
996, 2831.1715695909907024, 2831.5631626065658202, 0.3915930156, 8.330113209, -0.01964733964, 2831.3898851286272671, 0.020127668455345697132, 2831.4828790380585519, 0.4136390595, 0.09299390943, 0.3935113911, 4.897303827, 0.4008806814, 0.01275837813, 
1496, 3954.3478873960797580, 3954.5428923994930215, 0.1950050034, 8.073515616, -0.004872203143, 3954.4503957848222992, 0.014348500409901111442, 3954.5488543008482530, 0.4512210593, 0.09845851603, 0.4368725589, 4.592480572, 0.4361829819, 0.01503807742, 
1753, 4509.1244939887791062, 4509.5181580026079906, 0.3936640138, 8.393127629, -0.01985570496, 4509.3441486722370785, 0.016061433201113018657, 4509.4383854659981321, 0.4162207698, 0.09423679376, 0.4001593366, 4.992985919, 0.4003605751, 0.01586019471, 
1761, 4525.3488612964195991, 4525.7566107623222245, 0.4077494659, 8.351427226, -0.02130201470, 4525.5516778765678278, 0.010943805958859503147, 4525.5449005317492987, 0.4138300866, -0.006777344819, 0.4028862806, 5.119397645, 0.3967316103, 0.01709847631, 
1797, 4602.4682515976618059, 4602.9096807034569290, 0.4414291058, 8.337403654, -0.02496639335, 4602.6995052830902804, 0.015396313996360965450, 4602.7301646295411569, 0.3996607476, 0.03065934645, 0.3842644336, 5.121231017, 0.3873850969, 0.01227565075, 
2293, 5640.9776840438331699, 5641.3216821075623199, 0.3439980637, 8.337799859, -0.01516162932, 5641.1730345481383145, 0.019280548245659546671, 5641.3056254497581341, 0.4272405592, 0.1325909016, 0.4079600110, 4.808673336, 0.4119183674, 0.01532219188, 
2411, 5882.5232030693742347, 5882.8504355126844941, 0.3272324433, 8.282580964, -0.01371976234, 5882.7019277129239686, 0.017408340438008860094, 5882.7976742369099102, 0.4342805425, 0.09574652399, 0.4168722021, 4.831607022, 0.4154039905, 0.01887655205, 
3150, 7364.8374628713346118, 7365.1434610981361985, 0.3059982268, 8.226098065, -0.01199697346, 7365.0042541425355890, 0.018542970141728623690, 7365.1063248206538993, 0.4362750212, 0.1020706781, 0.4177320510, 4.746791871, 0.4195307534, 0.01674426774, 
3295, 7648.8371062490160491, 7649.0820743187012331, 0.2449680697, 8.106496380, -0.007688698631, 7648.9599162410066195, 0.016584527629175598913, 7648.9617646822282639, 0.4479372875, 0.001848441222, 0.4313527599, 4.672805534, 0.4296773240, 0.01825996355, 
3338, 7733.6448082265731296, 7733.9446562499946365, 0.2998480234, 8.210009478, -0.01151956976, 7733.8030666868170155, 0.017289507034545518836, 7733.8666186385624426, 0.4406742653, 0.06355195175, 0.4233847583, 4.785066676, 0.4206671612, 0.02000710413, 
3777, 8585.4528899504627531, 8585.6345267810282752, 0.1816368306, 8.101478889, -0.004227092084, 8585.5463574751702646, 0.012536100591548099191, 8585.6066811173647447, 0.4703111977, 0.06032364219, 0.4577750971, 4.779797409, 0.4376594747, 0.03265172298, 
3794, 8618.3459299536830166, 8618.7172301393914069, 0.3713001857, 8.364026681, -0.01766380295, 8618.5436415496518857, 0.011894667426483419035, 8618.5991656094460143, 0.4263239069, 0.05552405979, 0.4144292395, 5.033378445, 0.4057984649, 0.02052544201, 
3834, 8695.2560601445792816, 8695.5774706435574402, 0.3214104990, 8.270304463, -0.01323591582, 8695.4287859121310554, 0.016613900286036820175, 8695.5084060746935004, 0.4372148076, 0.07962016256, 0.4206009073, 4.847638412, 0.4165671235, 0.02064768408, 
3963, 8942.7235145045756107, 8943.1003911807040671, 0.3768766761, 8.334401729, -0.01819836622, 8942.9271896898509566, 0.015866723029786955437, 8942.9955862606519732, 0.4214091506, 0.06839657080, 0.4055424275, 4.957632370, 0.4044790076, 0.01693014298, 
3966, 8948.3725551548128807, 8948.6341835579555435, 0.2616284031, 8.170805157, -0.008770082108, 8948.5100676867106654, 0.016308991565758968270, 8948.5791873642751035, 0.4493861077, 0.06911967756, 0.4330771161, 4.747095318, 0.4271531760, 0.02223293168, 
4087, 9179.2868989790190517, 9179.4976230679681462, 0.2107240889, 8.158753826, -0.005689344713, 9179.3920768435614899, 0.012930419953522445538, 9179.3773871747340975, 0.4795684686, -0.01468966883, 0.4666380486, 4.947882582, 0.4343055498, 0.04526291878, 
4311, 9604.3767390170086532, 9604.7557017395151421, 0.3789627225, 8.308980427, -0.01840038296, 9604.5756058653905385, 0.015540613194549489690, 9604.6172959318242364, 0.4209611460, 0.04169006643, 0.4054205328, 4.968412200, 0.4039792496, 0.01698189643, 
4510, 9980.6909605727122059, 9980.8994036380337733, 0.2084430653, 8.185482267, -0.005566840533, 9980.8033375360732674, 0.013300422360344966947, 9980.9491372172754962, 0.4720609173, 0.1457996812, 0.4587604949, 4.858044542, 0.4345875274, 0.03747338990, 
