x,y,t
777717772.004678813381078021704,9.4776187133501178708e-5,-1.0000000000000000000e-8
777717772.004678813381078021704,-9.4776187133501178708e-5,-1.0000000000000000000e-8
777717772.004678813375954383411,9.4670616594254284975e-5,-9.9900000000000000000e-9
777717772.004678813375954383411,-9.4670616594254284975e-5,-9.9900000000000000000e-9
777717772.004678813370830745117,9.4564928198094953946e-5,-9.9800000000000000000e-9
777717772.004678813370830745117,-9.4564928198094953946e-5,-9.9800000000000000000e-9
777717772.004678813365707106824,9.4459121549420056309e-5,-9.9700000000000000000e-9
777717772.004678813365707106824,-9.4459121549420056309e-5,-9.9700000000000000000e-9
777717772.004678813360583468531,9.4353196250408336175e-5,-9.9600000000000000000e-9
777717772.004678813360583468531,-9.4353196250408336175e-5,-9.9600000000000000000e-9
777717772.004678813355459830237,9.4247151901002960243e-5,-9.9500000000000000000e-9
777717772.004678813355459830237,-9.4247151901002960243e-5,-9.9500000000000000000e-9
777717772.004678813350336191943,9.4140988098893890037e-5,-9.9400000000000000000e-9
777717772.004678813350336191943,-9.4140988098893890037e-5,-9.9400000000000000000e-9
777717772.004678813345212553650,9.4034704439500075040e-5,-9.9300000000000000000e-9
777717772.004678813345212553650,-9.4034704439500075040e-5,-9.9300000000000000000e-9
777717772.004678813340088915356,9.3928300515951464475e-5,-9.9200000000000000000e-9
777717772.004678813340088915356,-9.3928300515951464475e-5,-9.9200000000000000000e-9
777717772.004678813334965277061,9.3821775919070835487e-5,-9.9100000000000000000e-9
777717772.004678813334965277061,-9.3821775919070835487e-5,-9.9100000000000000000e-9
777717772.004678813329841638767,9.3715130237355435424e-5,-9.9000000000000000000e-9
777717772.004678813329841638767,-9.3715130237355435424e-5,-9.9000000000000000000e-9
777717772.004678813324718000473,9.3608363056958435884e-5,-9.8900000000000000000e-9
777717772.004678813324718000473,-9.3608363056958435884e-5,-9.8900000000000000000e-9
777717772.004678813319594362178,9.3501473961670196169e-5,-9.8800000000000000000e-9
777717772.004678813319594362178,-9.3501473961670196169e-5,-9.8800000000000000000e-9
777717772.004678813314470723883,9.3394462532899333743e-5,-9.8700000000000000000e-9
777717772.004678813314470723883,-9.3394462532899333743e-5,-9.8700000000000000000e-9
777717772.004678813309347085588,9.3287328349653599260e-5,-9.8600000000000000000e-9
777717772.004678813309347085588,-9.3287328349653599260e-5,-9.8600000000000000000e-9
777717772.004678813304223447293,9.3180070988520553694e-5,-9.8500000000000000000e-9
777717772.004678813304223447293,-9.3180070988520553694e-5,-9.8500000000000000000e-9
777717772.004678813299099808998,9.3072690023648045054e-5,-9.8400000000000000000e-9
777717772.004678813299099808998,-9.3072690023648045054e-5,-9.8400000000000000000e-9
777717772.004678813293976170703,9.2965185026724482147e-5,-9.8300000000000000000e-9
777717772.004678813293976170703,-9.2965185026724482147e-5,-9.8300000000000000000e-9
777717772.004678813288852532407,9.2857555566958902794e-5,-9.8200000000000000000e-9
777717772.004678813288852532407,-9.2857555566958902794e-5,-9.8200000000000000000e-9
777717772.004678813283728894112,9.2749801211060833886e-5,-9.8100000000000000000e-9
777717772.004678813283728894112,-9.2749801211060833886e-5,-9.8100000000000000000e-9
777717772.004678813278605255816,9.2641921523219940610e-5,-9.8000000000000000000e-9
777717772.004678813278605255816,-9.2641921523219940610e-5,-9.8000000000000000000e-9
777717772.004678813273481617520,9.2533916065085462143e-5,-9.7900000000000000000e-9
777717772.004678813273481617520,-9.2533916065085462143e-5,-9.7900000000000000000e-9
777717772.004678813268357979224,9.2425784395745431068e-5,-9.7800000000000000000e-9
777717772.004678813268357979224,-9.2425784395745431068e-5,-9.7800000000000000000e-9
777717772.004678813263234340928,9.2317526071705673730e-5,-9.7700000000000000000e-9
777717772.004678813263234340928,-9.2317526071705673730e-5,-9.7700000000000000000e-9
777717772.004678813258110702631,9.2209140646868588695e-5,-9.7600000000000000000e-9
777717772.004678813258110702631,-9.2209140646868588695e-5,-9.7600000000000000000e-9
777717772.004678813252987064335,9.2100627672511700446e-5,-9.7500000000000000000e-9
777717772.004678813252987064335,-9.2100627672511700446e-5,-9.7500000000000000000e-9
777717772.004678813247863426038,9.1991986697265985400e-5,-9.7400000000000000000e-9
777717772.004678813247863426038,-9.1991986697265985400e-5,-9.7400000000000000000e-9
777717772.004678813242739787741,9.1883217267093967278e-5,-9.7300000000000000000e-9
777717772.004678813242739787741,-9.1883217267093967278e-5,-9.7300000000000000000e-9
777717772.004678813237616149444,9.1774318925267578829e-5,-9.7200000000000000000e-9
777717772.004678813237616149444,-9.1774318925267578829e-5,-9.7200000000000000000e-9
777717772.004678813232492511147,9.1665291212345786850e-5,-9.7100000000000000000e-9
777717772.004678813232492511147,-9.1665291212345786850e-5,-9.7100000000000000000e-9
777717772.004678813227368872850,9.1556133666151977399e-5,-9.7000000000000000000e-9
777717772.004678813227368872850,-9.1556133666151977399e-5,-9.7000000000000000000e-9
777717772.004678813222245234553,9.1446845821751098064e-5,-9.6900000000000000000e-9
777717772.004678813222245234553,-9.1446845821751098064e-5,-9.6900000000000000000e-9
777717772.004678813217121596255,9.1337427211426554074e-5,-9.6800000000000000000e-9
777717772.004678813217121596255,-9.1337427211426554074e-5,-9.6800000000000000000e-9
777717772.004678813211997957957,9.1227877364656855014e-5,-9.6700000000000000000e-9
777717772.004678813211997957957,-9.1227877364656855014e-5,-9.6700000000000000000e-9
777717772.004678813206874319660,9.1118195808092008851e-5,-9.6600000000000000000e-9
777717772.004678813206874319660,-9.1118195808092008851e-5,-9.6600000000000000000e-9
777717772.004678813201750681362,9.1008382065529659902e-5,-9.6500000000000000000e-9
777717772.004678813201750681362,-9.1008382065529659902e-5,-9.6500000000000000000e-9
777717772.004678813196627043064,9.0898435657890967367e-5,-9.6400000000000000000e-9
777717772.004678813196627043064,-9.0898435657890967367e-5,-9.6400000000000000000e-9
777717772.004678813191503404765,9.0788356103196220948e-5,-9.6300000000000000000e-9
777717772.004678813191503404765,-9.0788356103196220948e-5,-9.6300000000000000000e-9
777717772.004678813186379766467,9.0678142916540190054e-5,-9.6200000000000000000e-9
777717772.004678813186379766467,-9.0678142916540190054e-5,-9.6200000000000000000e-9
777717772.004678813181256128168,9.0567795610067203029e-5,-9.6100000000000000000e-9
777717772.004678813181256128168,-9.0567795610067203029e-5,-9.6100000000000000000e-9
777717772.004678813176132489870,9.0457313692945952771e-5,-9.6000000000000000000e-9
777717772.004678813176132489870,-9.0457313692945952771e-5,-9.6000000000000000000e-9
777717772.004678813171008851571,9.0346696671344025070e-5,-9.5900000000000000000e-9
777717772.004678813171008851571,-9.0346696671344025070e-5,-9.5900000000000000000e-9
777717772.004678813165885213272,9.0235944048402145915e-5,-9.5800000000000000000e-9
777717772.004678813165885213272,-9.0235944048402145915e-5,-9.5800000000000000000e-9
777717772.004678813160761574973,9.0125055324208143990e-5,-9.5700000000000000000e-9
777717772.004678813160761574973,-9.0125055324208143990e-5,-9.5700000000000000000e-9
777717772.004678813155637936673,9.0014029995770624477e-5,-9.5600000000000000000e-9
777717772.004678813155637936673,-9.0014029995770624477e-5,-9.5600000000000000000e-9
777717772.004678813150514298374,8.9902867556992350258e-5,-9.5500000000000000000e-9
777717772.004678813150514298374,-8.9902867556992350258e-5,-9.5500000000000000000e-9
777717772.004678813145390660074,8.9791567498643326535e-5,-9.5400000000000000000e-9
777717772.004678813145390660074,-8.9791567498643326535e-5,-9.5400000000000000000e-9
777717772.004678813140267021774,8.9680129308333584801e-5,-9.5300000000000000000e-9
