x,y,t
143465.817215669979258887253948,0.014692394201164325426,-0.00021600000000000000000
143465.817215669979258887253948,-0.014692394201164325426,-0.00021600000000000000000
143465.817215442139034897720205,0.014658306410482473711,-0.00021550000000000000000
143465.817215442139034897720205,-0.014658306410482473711,-0.00021550000000000000000
143465.817215214298565007071770,0.014624139243386257127,-0.00021500000000000000000
143465.817215214298565007071770,-0.014624139243386257127,-0.00021500000000000000000
143465.817214986457849215031119,0.014589892142215374528,-0.00021450000000000000000
143465.817214986457849215031119,-0.014589892142215374528,-0.00021450000000000000000
143465.817214758616887521320732,0.014555564542750347861,-0.00021400000000000000000
143465.817214758616887521320732,-0.014555564542750347861,-0.00021400000000000000000
143465.817214530775679925663087,0.014521155874104006172,-0.00021350000000000000000
143465.817214530775679925663087,-0.014521155874104006172,-0.00021350000000000000000
143465.817214302934226427780667,0.014486665558610650400,-0.00021300000000000000000
143465.817214302934226427780667,-0.014486665558610650400,-0.00021300000000000000000
143465.817214075092527027395955,0.014452093011712838111,-0.00021250000000000000000
143465.817214075092527027395955,-0.014452093011712838111,-0.00021250000000000000000
143465.817213847250581724231437,0.014417437641845725400,-0.00021200000000000000000
143465.817213847250581724231437,-0.014417437641845725400,-0.00021200000000000000000
143465.817213619408390518009598,0.014382698850318901230,-0.00021150000000000000000
143465.817213619408390518009598,-0.014382698850318901230,-0.00021150000000000000000
143465.817213391565953408452928,0.014347876031195647438,-0.00021100000000000000000
143465.817213391565953408452928,-0.014347876031195647438,-0.00021100000000000000000
143465.817213163723270395283917,0.014312968571169555524,-0.00021050000000000000000
143465.817213163723270395283917,-0.014312968571169555524,-0.00021050000000000000000
143465.817212935880341478225056,0.014277975849438429161,-0.00021000000000000000000
143465.817212935880341478225056,-0.014277975849438429161,-0.00021000000000000000000
143465.817212708037166656998838,0.014242897237575399088,-0.00020950000000000000000
143465.817212708037166656998838,-0.014242897237575399088,-0.00020950000000000000000
143465.817212480193745931327760,0.014207732099397174678,-0.00020900000000000000000
143465.817212480193745931327760,-0.014207732099397174678,-0.00020900000000000000000
143465.817212252350079300934317,0.014172479790829354076,-0.00020850000000000000000
143465.817212252350079300934317,-0.014172479790829354076,-0.00020850000000000000000
143465.817212024506166765541008,0.014137139659768712214,-0.00020800000000000000000
143465.817212024506166765541008,-0.014137139659768712214,-0.00020800000000000000000
143465.817211796662008324870334,0.014101711045942383426,-0.00020750000000000000000
143465.817211796662008324870334,-0.014101711045942383426,-0.00020750000000000000000
143465.817211568817603978644796,0.014066193280763852646,-0.00020700000000000000000
143465.817211568817603978644796,-0.014066193280763852646,-0.00020700000000000000000
143465.817211340972953726586898,0.014030585687185666326,-0.00020650000000000000000
143465.817211340972953726586898,-0.014030585687185666326,-0.00020650000000000000000
143465.817211113128057568419145,0.013994887579548771295,-0.00020600000000000000000
143465.817211113128057568419145,-0.013994887579548771295,-0.00020600000000000000000
143465.817210885282915503864044,0.013959098263428386728,-0.00020550000000000000000
143465.817210885282915503864044,-0.013959098263428386728,-0.00020550000000000000000
143465.817210657437527532644103,0.013923217035476311197,-0.00020500000000000000000
143465.817210657437527532644103,-0.013923217035476311197,-0.00020500000000000000000
143465.817210429591893654481833,0.013887243183259563529,-0.00020450000000000000000
143465.817210429591893654481833,-0.013887243183259563529,-0.00020450000000000000000
143465.817210201746013869099745,0.013851175985095252735,-0.00020400000000000000000
143465.817210201746013869099745,-0.013851175985095252735,-0.00020400000000000000000
143465.817209973899888176220354,0.013815014709881568752,-0.00020350000000000000000
143465.817209973899888176220354,-0.013815014709881568752,-0.00020350000000000000000
143465.817209746053516575566173,0.013778758616924782024,-0.00020300000000000000000
143465.817209746053516575566173,-0.013778758616924782024,-0.00020300000000000000000
143465.817209518206899066859721,0.013742406955762136120,-0.00020250000000000000000
143465.817209518206899066859721,-0.013742406955762136120,-0.00020250000000000000000
143465.817209290360035649823516,0.013705958965980513608,-0.00020200000000000000000
143465.817209290360035649823516,-0.013705958965980513608,-0.00020200000000000000000
143465.817209062512926324180078,0.013669413877030751209,-0.00020150000000000000000
143465.817209062512926324180078,-0.013669413877030751209,-0.00020150000000000000000
143465.817208834665571089651929,0.013632770908037475990,-0.00020100000000000000000
143465.817208834665571089651929,-0.013632770908037475990,-0.00020100000000000000000
143465.817208606817969945961593,0.013596029267604329834,-0.00020050000000000000000
143465.817208606817969945961593,-0.013596029267604329834,-0.00020050000000000000000
143465.817208378970122892831595,0.013559188153614444734,-0.00020000000000000000000
143465.817208378970122892831595,-0.013559188153614444734,-0.00020000000000000000000
143465.817208151122029929984462,0.013522246753026026628,-0.00019950000000000000000
143465.817208151122029929984462,-0.013522246753026026628,-0.00019950000000000000000
